departamento_nombre,lat,lon
25 de Mayo,-35.4324152,-60.171624
9 de Julio,-35.4439161,-60.8845839
Adolfo Alsina,-34.8799401,-58.010536
Adolfo Gonzales Chaves,-38.032432,-60.0994208
Alberti,-34.6098814,-58.4008551
Almirante Brown,-34.5796344,-60.9677445
Arrecifes,-34.0674983,-60.108738
Avellaneda,-34.6648394,-58.3628061
Ayacucho,-37.1527482,-58.4884187
Azul,-36.777492,-59.863442
Bahía Blanca,-38.7176522,-62.2654871
Balcarce,-37.8464435,-58.2555452
Baradero,-33.8120471,-59.5051759
Benito Juárez,-37.6743544,-59.8048475
Berazategui,-34.7632677,-58.2116604
Berisso,-34.8688565,-57.8828667
Bolívar,-34.6097193,-58.374119
Bragado,-35.1155766,-60.489771
Brandsen,-35.1679404,-58.2373799
Campana,-34.1636631,-58.9586837
Capitán Sarmiento,-34.171201,-59.7936199
Carlos Casares,-35.6232368,-61.3650016
Carlos Tejedor,-35.3916961,-62.4197892
Carmen de Areco,-34.3766574,-59.8227267
Castelli,-36.0914272,-57.807336
Cañuelas,-35.0592386,-58.7544268
Chacabuco,-34.6297043,-60.470185
Chascomús,-35.5786869,-58.0138252
Chivilcoy,-34.8969591,-60.0190499
Colón,-33.8969428,-61.0993135
Coronel Dorrego,-38.7187129,-61.288505
Coronel Pringles,-37.9632996,-61.3690018
Coronel Suárez,-37.4585755,-61.9329038
Daireaux,-36.6034232,-61.7477079
Dolores,-36.3153624,-57.6755399
Ensenada,-34.8574895,-57.907717
Escobar,-34.3453213,-58.7950701
Esteban Echeverría,-35.5881344,-57.9859004
Exaltación de la Cruz,-35.1936635,-59.1014066
Ezeiza,-34.8168141,-58.5474234
Florencio Varela,-34.8044384,-58.2783224
Florentino Ameghino,-34.8452487,-62.4668089
General Alvarado,-34.7911322,-58.4011887
General Alvear,-36.0218215,-60.0144513
General Arenales,-34.3037291,-61.3062916
General Belgrano,-35.7656619,-58.4971944
General Guido,-36.6416863,-57.7921132
General Juan Madariaga,-36.9952343,-57.1369265
General La Madrid,-37.250566,-61.2583194
General Las Heras,-34.9268133,-58.947319
General Lavalle,-36.4063403,-56.943226
General Paz,-36.7788312,-59.0788803
General Pinto,-34.7643269,-61.8915674
General Pueyrredón,-38.0267588,-57.6045083
General Rodríguez,-34.6082302,-58.9522206
General San Martín,-34.5950235,-58.3778987
General Viamonte,-34.6721196,-58.4276754
General Villegas,-35.032594,-63.0148473
Guaminí,-37.0109187,-62.422215
Hipólito Yrigoyen,-34.6536024,-58.3789065
Hurlingham,-34.5933423,-58.6378405
Ituzaingó,-34.6583293,-58.6671441
José C. Paz,-34.511906,-58.7776777
Junín,-34.5934412,-60.9461678
La Costa,-36.6620477,-56.6926674
La Matanza,-34.9133471,-58.3392229
La Plata,-34.9206797,-57.9537638
Lanús,-34.7033363,-58.3953235
Laprida,-37.5441995,-60.8010823
Las Flores,-36.0142754,-59.0998685
Leandro N. Alem,-34.6029769,-58.3697268
Lezama,-35.8738767,-57.8954668
Lincoln,-34.8683517,-61.5296207
Lobería,-38.1634815,-58.7819479
Lobos,-35.1856322,-59.0978393
Lomas de Zamora,-34.7572582,-58.4026638
Luján,-34.5661734,-59.1152598
Magdalena,-35.0806403,-57.5177485
Maipú,-36.8624311,-57.8862736
Malvinas Argentinas,-34.8187342,-58.4240051
Mar Chiquita,-37.6491532,-57.3791675
Marcos Paz,-34.7865089,-58.8296815
Mercedes,-34.6506717,-59.4317202
Merlo,-34.6604988,-58.7321695
Monte,-35.4366828,-58.8175325
Monte Hermoso,-38.9835481,-61.304961
Moreno,-34.6396556,-58.7898326
Morón,-34.6510527,-58.6217416
Navarro,-35.0058641,-59.2779545
Necochea,-38.5545494,-58.7392624
Olavarría,-36.8938752,-60.3231676
Patagones,-34.6373248,-58.4002814
Pehuajó,-35.8104933,-61.899055
Pellegrini,-36.2682328,-63.1646424
Pergamino,-33.897495,-60.575046
Pila,-36.0041337,-58.1411256
Pilar,-34.4570918,-58.9141609
Pinamar ,-37.1099492,-56.8539007
Presidente Perón,-34.8342571,-58.2183776
Punta Indio,-35.2751181,-57.2310232
Puán,-34.623559,-58.448639
Quilmes,-34.7303025,-58.268868
Ramallo,-33.4849394,-60.0044551
Rauch,-36.7744093,-59.0882855
Rivadavia,-34.5366131,-58.4680033
Rojas,-34.1977548,-60.7336808
Roque Pérez,-35.3964431,-59.3312128
Saavedra,-34.5544387,-58.4868008
Saladillo,-35.6388525,-59.7794241
Salliqueló,-36.7515777,-62.9590104
Salto,-34.2917828,-60.2544888
San Andrés de Giles,-34.4423682,-59.4475148
San Antonio de Areco,-34.2437294,-59.4734187
San Cayetano,-38.3458069,-59.6068817
San Fernando,-34.4471919,-58.5701505
San Isidro,-34.4739792,-58.5264866
San Miguel,-34.540349,-58.7157491
San Nicolás,-33.3277089,-60.2165909
San Pedro,-33.6760716,-59.6629342
San Vicente,-33.8967542,-60.5861157
Suipacha,-34.7733304,-59.690381
Tandil,-37.3282887,-59.1356957
Tapalqué,-36.3563106,-60.0251321
Tigre,-34.4235341,-58.5817628
Tordillo,-38.6646178,-62.2170452
Tornquist,-38.1013726,-62.2228603
Trenque Lauquen,-35.9731074,-62.7328794
Tres Arroyos,-38.3770014,-60.2755685
Tres Lomas ,-36.4590428,-62.8620986
Tres de Febrero,-34.5718841,-58.4251892
Vicente López,-34.5244484,-58.5036282
Villa Gesell ,-37.2556627,-56.9679411
Villarino,-34.6550237,-58.3822854
Zárate ,-34.0954713,-59.0245097
